model_name,class_set,cutoff,confidence_threshold,accuracy,true positive,true negative,false postivie,false negative,precision,recall,f1_score
yolov8s-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.05,0.9090909090909091,96,34,6,7,0.9411764705882353,0.9320388349514563,0.9365853658536586
yolov8s-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.1,0.8951048951048951,94,34,6,9,0.94,0.912621359223301,0.9261083743842364
yolov8s-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.15,0.8951048951048951,94,34,6,9,0.94,0.912621359223301,0.9261083743842364
yolov8s-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.2,0.8951048951048951,94,34,6,9,0.94,0.912621359223301,0.9261083743842364
yolov8s-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.25,0.8951048951048951,92,36,4,11,0.9583333333333334,0.8932038834951457,0.9246231155778895
yolov8s-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.3,0.8951048951048951,92,36,4,11,0.9583333333333334,0.8932038834951457,0.9246231155778895
yolov8s-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.35,0.8881118881118881,90,37,3,13,0.967741935483871,0.8737864077669902,0.9183673469387754
yolov8s-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.4,0.8811188811188811,89,37,3,14,0.967391304347826,0.8640776699029126,0.9128205128205128
yolov8s-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.45,0.8671328671328671,87,37,3,16,0.9666666666666667,0.8446601941747572,0.9015544041450777
yolov8s-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.5,0.8741258741258742,87,38,2,16,0.9775280898876404,0.8446601941747572,0.9062499999999999
yolov8s-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger']",tiger,0.05,0.9230769230769231,99,33,7,4,0.9339622641509434,0.9611650485436893,0.9473684210526316
yolov8s-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger']",tiger,0.1,0.9230769230769231,98,34,6,5,0.9423076923076923,0.9514563106796117,0.9468599033816425
yolov8s-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger']",tiger,0.15,0.916083916083916,97,34,6,6,0.941747572815534,0.941747572815534,0.941747572815534
yolov8s-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger']",tiger,0.2,0.916083916083916,95,36,4,8,0.9595959595959596,0.9223300970873787,0.9405940594059405
yolov8s-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger']",tiger,0.25,0.9020979020979021,93,36,4,10,0.9587628865979382,0.9029126213592233,0.9299999999999999
yolov8s-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger']",tiger,0.3,0.9020979020979021,92,37,3,11,0.968421052631579,0.8932038834951457,0.9292929292929294
yolov8s-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger']",tiger,0.35,0.8881118881118881,90,37,3,13,0.967741935483871,0.8737864077669902,0.9183673469387754
yolov8s-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger']",tiger,0.4,0.8881118881118881,90,37,3,13,0.967741935483871,0.8737864077669902,0.9183673469387754
yolov8s-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger']",tiger,0.45,0.8741258741258742,87,38,2,16,0.9775280898876404,0.8446601941747572,0.9062499999999999
yolov8s-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger']",tiger,0.5,0.8601398601398601,85,38,2,18,0.9770114942528736,0.8252427184466019,0.8947368421052632
yolov8m-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.05,0.9300699300699301,99,34,6,4,0.9428571428571428,0.9611650485436893,0.951923076923077
